page,interface,kind,field,flag,dtype,value,desc
51,get_stock_info,RETURN,TodayDRFlag,Y,str,,当天是否有除权除息(沪深京)
51,get_stock_info,RETURN,HSStockKind,Y,str,,"沪深京品种类型 0:指数,1:A股主 板,2:北证A股,3:创业板,4:科创 板,5:B股,6:债券,7:基金,8:权证,9:其 它,10:非沪深京品种"
51,get_stock_info,RETURN,ActiveCapital,Y,str,,流通股本(万股)
51,get_stock_info,RETURN,J_zgb,Y,str,,总股本(万股)
51,get_stock_info,RETURN,J_bg,Y,str,,B股(万股)
51,get_stock_info,RETURN,J_hg,Y,str,,H股(万股)
51,get_stock_info,RETURN,J_zzc,Y,str,,总资产(万元)
51,get_stock_info,RETURN,J_ldzc,Y,str,,流动资产(万元)
51,get_stock_info,RETURN,J_gdzc,Y,str,,固定资产(万元)
51,get_stock_info,RETURN,J_wxzc,Y,str,,无形资产(万元)
51,get_stock_info,RETURN,J_ldfz,Y,str,,流动负债(万元)
51,get_stock_info,RETURN,J_cqfz,Y,str,,少数股东权益(万元)
51,get_stock_info,RETURN,J_zbgjj,Y,str,,资本公积金(万元)
51,get_stock_info,RETURN,J_jzc,Y,str,,股东权益/净资产(万元)
51,get_stock_info,RETURN,J_yysy,Y,str,,营业收入(万元)
51,get_stock_info,RETURN,J_yycb,Y,str,,营业成本(万元)
51,get_stock_info,RETURN,J_yszk,Y,str,,应收账款(万元)
51,get_stock_info,RETURN,J_yyly,Y,str,,营业利润(万元)
51,get_stock_info,RETURN,J_tzsy,Y,str,,投资收益(万元)
51,get_stock_info,RETURN,J_jyxjl,Y,str,,经营现金净流量(万元)
52,get_stock_info,RETURN,J_zxjl,Y,str,,总现金净流量(万元)
52,get_stock_info,RETURN,J_ch,Y,str,,存货(万元)
52,get_stock_info,RETURN,J_lyze,Y,str,,利润总额(万元)
52,get_stock_info,RETURN,J_shly,Y,str,,税后利润(万元)
52,get_stock_info,RETURN,J_jly,Y,str,,净利润(万元)
52,get_stock_info,RETURN,J_wfply,Y,str,,未分配利益(万元)
52,get_stock_info,RETURN,J_jyl,Y,str,,净资产收益率
52,get_stock_info,RETURN,J_mgwfp,Y,str,,每股未分配
52,get_stock_info,RETURN,J_mgsy,Y,str,,每股收益（折算为全年）
52,get_stock_info,RETURN,J_mgsy2,Y,str,,季报每股收益 (财报中提供的每股 收益)
52,get_stock_info,RETURN,J_mggjj,Y,str,,每股公积金
52,get_stock_info,RETURN,J_mgjzc,Y,str,,每股净资产
52,get_stock_info,RETURN,J_mgjzc2,Y,str,,季报每股净资产 (财报中提供的每 股收益)
52,get_stock_info,RETURN,J_gdqyb,Y,str,,股东权益比
52,get_stock_info,RETURN,J_gdrs,Y,str,,股东人数
52,get_stock_info,RETURN,J_HalfYearFlag,Y,str,,"报告期月份(3,6,9,12)"
52,get_stock_info,RETURN,J_start,Y,str,,上市日期
52,get_stock_info,RETURN,tdx_dycode,Y,str,,通达信地域代码
52,get_stock_info,RETURN,tdx_dyname,Y,str,,通达信地域
52,get_stock_info,RETURN,rs_hycode_sim,Y,str,,通达信行业代码
52,get_stock_info,RETURN,rs_hyname,Y,str,,通达信行业
52,get_stock_info,RETURN,blockzscode,Y,str,,所属的行业板块指数代码
52,get_stock_info,RETURN,underly_setcode,Y,str,,标的市场代码(比如：当前ETF跟踪 的指数市场)
52,get_stock_info,RETURN,underly_code,Y,str,,标的代码(比如：当前ETF跟踪的指 数代码)
55,get_more_info,PARAM,stock_code,Y,str,,股票代码
55,get_more_info,PARAM,field_list,N,List[str],,字段筛选，传空则返回全部
55,get_more_info,RETURN,MainBusiness,Y,str,,主营构成
55,get_more_info,RETURN,SafeValue,Y,str,,安全分
55,get_more_info,RETURN,ShineValue,Y,str,,亮点数
55,get_more_info,RETURN,ShapeValue,Y,str,,短期形态+中期形态+长期形态 编 号
55,get_more_info,RETURN,TPFlag,Y,str,,停牌标识
55,get_more_info,RETURN,ZTPrice,Y,str,,涨停价
55,get_more_info,RETURN,DTPrice,Y,str,,跌停价
55,get_more_info,RETURN,HqDate,Y,str,,行情日期
55,get_more_info,RETURN,fHSL,Y,str,,换手率
55,get_more_info,RETURN,fLianB,Y,str,,量比
55,get_more_info,RETURN,Wtb,Y,str,,委比
55,get_more_info,RETURN,Zsz,Y,str,,总市值(亿)
56,get_more_info,RETURN,Ltsz,Y,str,,流通市值(亿)
56,get_more_info,RETURN,vzangsu,Y,str,,量涨速
56,get_more_info,RETURN,Fzhsl,Y,str,,分钟换手率
56,get_more_info,RETURN,FzAmo,Y,str,,2分钟金额(万元)
56,get_more_info,RETURN,VOpenZAF,Y,str,,抢筹涨幅
56,get_more_info,RETURN,ZAF,Y,str,,涨幅
56,get_more_info,RETURN,ZAFYesterday,Y,str,,昨日涨幅
56,get_more_info,RETURN,ZAFPre2D,Y,str,,前天涨幅
56,get_more_info,RETURN,ZAFPre5,Y,str,,5日涨幅
56,get_more_info,RETURN,ZAFPre10,Y,str,,10日涨幅
56,get_more_info,RETURN,ZAFPre20,Y,str,,20日涨幅
56,get_more_info,RETURN,ZAFPre30,Y,str,,30日涨幅
56,get_more_info,RETURN,ZAFPre60,Y,str,,60日涨幅
56,get_more_info,RETURN,ZAFYear,Y,str,,年初至今涨幅
56,get_more_info,RETURN,ZAFPreMyMonth,Y,str,,涨幅(本月来)
56,get_more_info,RETURN,ZAFPreOneYear,Y,str,,涨幅(一年来)
56,get_more_info,RETURN,Zjl,Y,str,,主买净额(万元)
56,get_more_info,RETURN,Zjl_HB,Y,str,,主力净流入(万元)
56,get_more_info,RETURN,TotalBVol,Y,str,,总买量
56,get_more_info,RETURN,TotalSVol,Y,str,,总卖量
56,get_more_info,RETURN,BCancel,Y,str,,总撤买量
56,get_more_info,RETURN,SCancel,Y,str,,总撤卖量
56,get_more_info,RETURN,L2TicNum,Y,str,,L2逐笔成交数
56,get_more_info,RETURN,L2OrderNum,Y,str,,L2逐笔委托数
56,get_more_info,RETURN,FCAmo,Y,str,,封单额(万元)
57,get_more_info,RETURN,FCb,Y,str,,封成比
57,get_more_info,RETURN,OpenAmo,Y,str,,开盘金额(万元)(A股和板块指数有 效)
57,get_more_info,RETURN,OpenZTBuy,Y,str,,竞价涨停买入金额(万元)
57,get_more_info,RETURN,OpenAmoPre1,Y,str,,昨开盘金额(万元)
57,get_more_info,RETURN,OpenVolPre1,Y,str,,昨开盘量
57,get_more_info,RETURN,CJJEPre1,Y,str,,昨成交额(万元)
57,get_more_info,RETURN,CJJEPre3,Y,str,,3日成交额(万元)
57,get_more_info,RETURN,FDEPre1,Y,str,,昨封单额(万元)
57,get_more_info,RETURN,FDEPre2,Y,str,,前封单额(万元)
57,get_more_info,RETURN,ZTGPNum,Y,str,,板块指数的涨停家数
57,get_more_info,RETURN,LastStartZT,Y,str,,几天
57,get_more_info,RETURN,LastZTHzNum,Y,str,,几板
57,get_more_info,RETURN,EverZTCount,Y,str,,连板天
57,get_more_info,RETURN,ConZAFDateNum,Y,str,,连涨天数
57,get_more_info,RETURN,YearZTDay,Y,str,,年涨停天数
57,get_more_info,RETURN,MA5Value,Y,str,,5日均价
57,get_more_info,RETURN,HisHigh,Y,str,,52周最高
57,get_more_info,RETURN,HisLow,Y,str,,52周最低
57,get_more_info,RETURN,IPO_Price,Y,str,,发行价
57,get_more_info,RETURN,More_YJL,Y,str,,"ETF,LOF溢价率"
57,get_more_info,RETURN,BetaValue,Y,str,,贝塔系数
57,get_more_info,RETURN,DynaPE,Y,str,,动态市盈率
57,get_more_info,RETURN,MorePE,Y,str,,"市盈率(港股:动,其他扩展:静)"
57,get_more_info,RETURN,StaticPE_TTM,Y,str,,市盈率(TTM)
57,get_more_info,RETURN,DYRatio,Y,str,,股息率
58,get_more_info,RETURN,PB_MRQ,Y,str,,市净率(MRQ)
58,get_more_info,RETURN,IsT0Fund,Y,str,,是否是T+0基金
58,get_more_info,RETURN,IsZCZGP,Y,str,,是否是注册制A股
58,get_more_info,RETURN,IsKzz,Y,str,,是否是可转债
58,get_more_info,RETURN,Kzz_HSCode,Y,str,,可转债对应的正股代码
58,get_more_info,RETURN,QHMainYYMM,Y,str,,"主力合约关联的月份(期货),主力和 次主力"
58,get_more_info,RETURN,FreeLtgb,Y,str,,自由流通股本(万)
58,get_more_info,RETURN,Yield,Y,str,,"应计利息(债券),占款天数(回购)"
58,get_more_info,RETURN,KfEarnMoney,Y,str,,扣非净利润(万元)
58,get_more_info,RETURN,RDInputFee,Y,str,,研发费用(万元)
58,get_more_info,RETURN,CashZJ,Y,str,,货币资金(万元)
58,get_more_info,RETURN,PreReceiveZJ,Y,str,,合同负债(万元)
58,get_more_info,RETURN,OtherQYJzc,Y,str,,其它权益工具(万元)
58,get_more_info,RETURN,StaffNum,Y,str,,员工人数
58,get_more_info,RETURN,RecentGGJYDate,Y,str,,最近北上大额交易日
58,get_more_info,RETURN,RecentHGDate,Y,str,,最近回购预案日
58,get_more_info,RETURN,RecentIncentDate,Y,str,,最近股权激励预案日
58,get_more_info,RETURN,NoticeDate_Recent,Y,str,,最近业绩预告日
58,get_more_info,RETURN,RecentReleaseDate,Y,str,,最近解禁日
58,get_more_info,RETURN,RecentDZDate,Y,str,,最近定增日
58,get_more_info,RETURN,ReportDate,Y,str,,最近财报公告日期
58,get_more_info,RETURN,ZTDate_Recent,Y,str,,近2年最近涨停板日期
58,get_more_info,RETURN,DTDate_Recent,Y,str,,近2年最近跌停板日期
58,get_more_info,RETURN,TopDate_Recent,Y,str,,近2年最近龙虎榜日期
58,get_more_info,RETURN,StopJYDate_Recent,Y,str,,最近停牌日期
61,get_pricevol,PARAM,stock_list,Y,List[str],,证券代码列表
61,get_pricevol,RETURN,LastClose,Y,str,,前收盘价
61,get_pricevol,RETURN,Now,Y,str,,现价
61,get_pricevol,RETURN,Volume,Y,str,,成交量
63,get_divid_factors,PARAM,stock_code,Y,str,,证券代码
63,get_divid_factors,PARAM,start_time,N,str,,起始时间
63,get_divid_factors,PARAM,end_time,N,str,,结束时间
63,get_divid_factors,RETURN,Type,Y,str,,类型 1:除权除息 11:扩缩股 15:重 新调整
63,get_divid_factors,RETURN,Bonus,Y,str,,红利
63,get_divid_factors,RETURN,AlloPrice,Y,str,,配股价
63,get_divid_factors,RETURN,ShareBonus,Y,str,,送股/扩缩股比例
63,get_divid_factors,RETURN,Allotment,Y,str,,配股
65,get_relation,PARAM,stock_code,Y,str,,股票代码
65,get_relation,RETURN,BlockCode,Y,str,,板块代码
65,get_relation,RETURN,BlockName,Y,str,,板块名称
65,get_relation,RETURN,BlockType,Y,str,,板块类型
65,get_relation,RETURN,GPNume,Y,str,,成份股数量
67,get_ipo_info,PARAM,ipo_type,Y,str,,自定义板块简称
67,get_ipo_info,PARAM,ipo_date,Y,int,,自定义板块名称
67,get_ipo_info,RETURN,Code,Y,str,,证券代码
67,get_ipo_info,RETURN,Name,Y,str,,证券名称
67,get_ipo_info,RETURN,SGDate,Y,str,,申购日期
67,get_ipo_info,RETURN,SGPrice,Y,str,,申购价格
67,get_ipo_info,RETURN,SGCode,Y,str,,申购代码
67,get_ipo_info,RETURN,MaxSG,Y,str,,申购上限
67,get_ipo_info,RETURN,PE_Issue,Y,str,,发行市盈率
69,get_gb_info,PARAM,stock_code,Y,str,,股票代码
69,get_gb_info,PARAM,date_list,Y,List[str],,日期数组
69,get_gb_info,PARAM,count,Y,int,,日期有效个数
69,get_gb_info,RETURN,Date,,double,,日期
69,get_gb_info,RETURN,Zgb,,double,,总股本
69,get_gb_info,RETURN,Ltgb,,double,,流通股本
71,get_gb_info_by_date,PARAM,stock_code,Y,str,,股票代码
71,get_gb_info_by_date,PARAM,start_date,Y,str,,开始日期
71,get_gb_info_by_date,PARAM,end_date,Y,str,,截止日期
71,get_gb_info_by_date,RETURN,Date,,double,,日期
71,get_gb_info_by_date,RETURN,Zgb,,double,,总股本
71,get_gb_info_by_date,RETURN,Ltgb,,double,,流通股本
74,get_financial_data,PARAM,stock_list,Y,List[str],,"证券代码列表例如 [""600519.SH""]"
74,get_financial_data,PARAM,field_list,Y,List[str],,字段筛选，不能为空，字段名须与 系统定义一致（如 FN193 ）
74,get_financial_data,PARAM,start_time,Y,str,,起始时间，格式 YYYYMMDD ，如 '20250101'
74,get_financial_data,PARAM,end_time,N,str,,结束时间，格式 YYYYMMDD ，为 空表示无结束限制
74,get_financial_data,PARAM,report_type,N,bool,,按截止日期还是公告日期筛选，可 选值： 'announce time' （按公 _ 告日期筛选）或 'tag time' （按 _ 报告期筛选）
74,get_financial_data,RETURN,announce_time,,int,,公告日期
74,get_financial_data,RETURN,tag_time,,int,,报告期
74,get_financial_data,RETURN,FN1,,double,,基本每股收益
74,get_financial_data,RETURN,FN2,,double,,扣除非经常性损益每股收益
74,get_financial_data,RETURN,FN3,,double,,每股未分配利润
75,get_financial_data,RETURN,FN4,,double,,每股净资产
75,get_financial_data,RETURN,FN5,,double,,每股资本公积金
75,get_financial_data,RETURN,FN6,,double,,净资产收益率
75,get_financial_data,RETURN,FN7,,double,,每股经营现金流量
75,get_financial_data,RETURN,FN8,,double,,货币资金
75,get_financial_data,RETURN,FN9,,double,,交易性金融资产
75,get_financial_data,RETURN,FN10,,double,,应收票据
75,get_financial_data,RETURN,FN11,,double,,应收账款
75,get_financial_data,RETURN,FN12,,double,,预付款项
75,get_financial_data,RETURN,FN13,,double,,其他应收款
75,get_financial_data,RETURN,FN14,,double,,应收关联公司款
75,get_financial_data,RETURN,FN15,,double,,应收利息
75,get_financial_data,RETURN,FN16,,double,,应收股利
75,get_financial_data,RETURN,FN17,,double,,存货
75,get_financial_data,RETURN,FN18,,double,,其中：消耗性生物资产
75,get_financial_data,RETURN,FN19,,double,,一年内到期的非流动资产
75,get_financial_data,RETURN,FN20,,double,,其他流动资产
75,get_financial_data,RETURN,FN21,,double,,流动资产合计
75,get_financial_data,RETURN,FN22,,double,,可供出售金融资产
75,get_financial_data,RETURN,FN23,,double,,持有至到期投资
75,get_financial_data,RETURN,FN24,,double,,长期应收款
75,get_financial_data,RETURN,FN25,,double,,长期股权投资
75,get_financial_data,RETURN,FN26,,double,,投资性房地产
75,get_financial_data,RETURN,FN27,,double,,固定资产
75,get_financial_data,RETURN,FN28,,double,,在建工程
75,get_financial_data,RETURN,FN29,,double,,工程物资
75,get_financial_data,RETURN,FN30,,double,,固定资产清理
76,get_financial_data,RETURN,FN31,,double,,生产性生物资产
76,get_financial_data,RETURN,FN32,,double,,油气资产
76,get_financial_data,RETURN,FN33,,double,,无形资产
76,get_financial_data,RETURN,FN34,,double,,开发支出
76,get_financial_data,RETURN,FN35,,double,,商誉
76,get_financial_data,RETURN,FN36,,double,,长期待摊费用
76,get_financial_data,RETURN,FN37,,double,,递延所得税资产
76,get_financial_data,RETURN,FN38,,double,,其他非流动资产
76,get_financial_data,RETURN,FN39,,double,,非流动资产合计
76,get_financial_data,RETURN,FN40,,double,,资产总计
76,get_financial_data,RETURN,FN41,,double,,短期借款
76,get_financial_data,RETURN,FN42,,double,,交易性金融负债
76,get_financial_data,RETURN,FN43,,double,,应付票据
76,get_financial_data,RETURN,FN44,,double,,应付账款
76,get_financial_data,RETURN,FN45,,double,,预收款项
76,get_financial_data,RETURN,FN46,,double,,应付职工薪酬
76,get_financial_data,RETURN,FN47,,double,,应交税费
76,get_financial_data,RETURN,FN48,,double,,应付利息
76,get_financial_data,RETURN,FN49,,double,,应付股利
76,get_financial_data,RETURN,FN50,,double,,其他应付款
76,get_financial_data,RETURN,FN51,,double,,应付关联公司款
76,get_financial_data,RETURN,FN52,,double,,一年内到期的非流动负债
76,get_financial_data,RETURN,FN53,,double,,其他流动负债
76,get_financial_data,RETURN,FN54,,double,,流动负债合计
76,get_financial_data,RETURN,FN55,,double,,长期借款
76,get_financial_data,RETURN,FN56,,double,,应付债券
76,get_financial_data,RETURN,FN57,,double,,长期应付款
77,get_financial_data,RETURN,FN58,,double,,专项应付款
77,get_financial_data,RETURN,FN59,,double,,预计负债 （非流动负债）
77,get_financial_data,RETURN,FN60,,double,,递延所得税负债
77,get_financial_data,RETURN,FN61,,double,,其他非流动负债
77,get_financial_data,RETURN,FN62,,double,,非流动负债合计
77,get_financial_data,RETURN,FN63,,double,,负债合计
77,get_financial_data,RETURN,FN64,,double,,实收资本（或股本）
77,get_financial_data,RETURN,FN65,,double,,资本公积
77,get_financial_data,RETURN,FN66,,double,,盈余公积
77,get_financial_data,RETURN,FN67,,double,,减：库存股
77,get_financial_data,RETURN,FN68,,double,,未分配利润
77,get_financial_data,RETURN,FN69,,double,,少数股东权益
77,get_financial_data,RETURN,FN70,,double,,外币报表折算价差
77,get_financial_data,RETURN,FN71,,double,,非正常经营项目收益调整
77,get_financial_data,RETURN,FN72,,double,,所有者权益（或股东权益）合计
77,get_financial_data,RETURN,FN73,,double,,负债和所有者（或股东权益）合计
77,get_financial_data,RETURN,FN98,,double,,销售商品、提供劳务收到的现金
77,get_financial_data,RETURN,FN99,,double,,收到的税费返还
77,get_financial_data,RETURN,FN100,,double,,收到其他与经营活动有关的现金
77,get_financial_data,RETURN,FN101,,double,,经营活动现金流入小计
77,get_financial_data,RETURN,FN102,,double,,购买商品、接受劳务支付的现金
77,get_financial_data,RETURN,FN103,,double,,支付给职工以及为职工支付的现金
77,get_financial_data,RETURN,FN104,,double,,支付的各项税费
77,get_financial_data,RETURN,FN105,,double,,支付其他与经营活动有关的现金
77,get_financial_data,RETURN,FN106,,double,,经营活动现金流出小计
77,get_financial_data,RETURN,FN107,,double,,经营活动产生的现金流量净额
77,get_financial_data,RETURN,FN108,,double,,收回投资收到的现金
78,get_financial_data,RETURN,FN109,,double,,取得投资收益收到的现金
78,get_financial_data,RETURN,FN110,,double,,处置固定资产、无形资产和其他长期资 产收回的现金净额
78,get_financial_data,RETURN,FN111,,double,,处置子公司及其他营业单位收到的现金 净额
78,get_financial_data,RETURN,FN112,,double,,收到其他与投资活动有关的现金
78,get_financial_data,RETURN,FN113,,double,,投资活动现金流入小计
78,get_financial_data,RETURN,FN114,,double,,购建固定资产、无形资产和其他长期资 产支付的现金
78,get_financial_data,RETURN,FN115,,double,,投资支付的现金
78,get_financial_data,RETURN,FN116,,double,,取得子公司及其他营业单位支付的现金 净额
78,get_financial_data,RETURN,FN117,,double,,支付其他与投资活动有关的现金
78,get_financial_data,RETURN,FN118,,double,,投资活动现金流出小计
78,get_financial_data,RETURN,FN119,,double,,投资活动产生的现金流量净额
78,get_financial_data,RETURN,FN120,,double,,吸收投资收到的现金
78,get_financial_data,RETURN,FN121,,double,,取得借款收到的现金
78,get_financial_data,RETURN,FN122,,double,,收到其他与筹资活动有关的现金
78,get_financial_data,RETURN,FN123,,double,,筹资活动现金流入小计
78,get_financial_data,RETURN,FN124,,double,,偿还债务支付的现金
78,get_financial_data,RETURN,FN125,,double,,分配股利、利润或偿付利息支付的现金
78,get_financial_data,RETURN,FN126,,double,,支付其他与筹资活动有关的现金
78,get_financial_data,RETURN,FN127,,double,,筹资活动现金流出小计
78,get_financial_data,RETURN,FN128,,double,,筹资活动产生的现金流量净额
78,get_financial_data,RETURN,FN129,,double,,四、汇率变动对现金的影响
78,get_financial_data,RETURN,FN130,,double,,四(2)、其他原因对现金的影响
78,get_financial_data,RETURN,FN131,,double,,五、现金及现金等价物净增加额
78,get_financial_data,RETURN,FN132,,double,,期初现金及现金等价物余额
78,get_financial_data,RETURN,FN133,,double,,期末现金及现金等价物余额
79,get_financial_data,RETURN,FN134,,double,,净利润
79,get_financial_data,RETURN,FN135,,double,,加：资产减值准备
79,get_financial_data,RETURN,FN136,,double,,固定资产折旧、油气资产折耗、生产性 生物资产折旧
79,get_financial_data,RETURN,FN137,,double,,无形资产摊销
79,get_financial_data,RETURN,FN138,,double,,长期待摊费用摊销
79,get_financial_data,RETURN,FN139,,double,,处置固定资产、无形资产和其他长期资 产的损失
79,get_financial_data,RETURN,FN140,,double,,固定资产报废损失
79,get_financial_data,RETURN,FN141,,double,,公允价值变动损失
79,get_financial_data,RETURN,FN142,,double,,财务费用
79,get_financial_data,RETURN,FN143,,double,,投资损失
79,get_financial_data,RETURN,FN144,,double,,递延所得税资产减少
79,get_financial_data,RETURN,FN145,,double,,递延所得税负债增加
79,get_financial_data,RETURN,FN146,,double,,存货的减少
79,get_financial_data,RETURN,FN147,,double,,经营性应收项目的减少
79,get_financial_data,RETURN,FN148,,double,,经营性应付项目的增加
79,get_financial_data,RETURN,FN149,,double,,其他
